Headline,URL,Date,Location
2 police officers among 3 shot at Walmart in eastern Arkansas,https://globalnews.ca/news/6531456/walmart-shooting-arkansas/,"February 10, 2020 1:09 pm",WORLD
2nd evacuation flight chartered by Ottawa leaves Wuhan with 185 on board,https://globalnews.ca/news/6530909/coronavirus-quarantine-flight-crew-released/,"February 10, 2020 12:30 pm",CANADA
Couple trapped on cruise ship quarantined over coronavirus taking it ‘day by day’,https://globalnews.ca/news/6529885/coronavirus-cruise-couple-quarantined/,"February 10, 2020 12:28 pm",WORLD
4 Chinese military members charged by U.S. in Equifax breach,https://globalnews.ca/news/6530660/equifax-breach-chinese-military-charge/,"February 10, 2020 7:53 am",WORLD
Canadian doctor in charge of WHO’s coronavirus team headed to China,https://globalnews.ca/news/6530143/who-canadian-doctor-china-team/,"February 10, 2020 10:04 am",WORLD
Trump’s $4.8 trillion budget would slash spending on social safety nets and foreign aid,https://globalnews.ca/news/6530149/trumps-4-8-trillion-budget-would-slash-spending-on-social-safety-nets-and-foreign-aid/,"February 10, 2020 9:19 am",WORLD
Schumer calls for investigation into whistleblower retaliation,https://globalnews.ca/news/6529924/whistleblower-trump-impeachment-schumer/,"February 10, 2020 8:02 am",WORLD
Remains of Thai shooting victims released as city grapples with tragedy,https://globalnews.ca/news/6529787/thailand-mass-shooting-aftermath/,"February 10, 2020 7:40 am",WORLD
Demoratic rivals seek to blunt Buttigieg’s momentum ahead of New Hampshire primary,https://globalnews.ca/news/6529739/new-hampshire-primary-buttigieg/,"February 10, 2020 6:53 am",POLITICS
Ireland election: Political parties scramble as Sinn Fein tops poll,https://globalnews.ca/news/6529703/ireland-election-sinn-fein/,"February 10, 2020 6:39 am",POLITICS
‘Serious and imminent threat’: U.K. announces new measures to combat coronavirus,https://globalnews.ca/news/6529686/coronavirus-uk-threat/,"February 10, 2020 6:24 am",HEALTH
Canadian among 66 new cases of coronavirus aboard Japan cruise ship: officials,https://globalnews.ca/news/6529649/coronavirus-cruise-ship-canadian/,"February 10, 2020 6:05 am",CANADA
Bernie Sanders wants a ‘partial recanvass’ of the Iowa caucus results,https://globalnews.ca/news/6529066/bernie-sanders-iowa-caucus-results/,"February 9, 2020 9:59 pm",WORLD
"Coronavirus death toll rises to 908 in China, Japan cruise ship sees 66 new cases",https://globalnews.ca/news/6528870/china-virus-outbreak-deaths-infected/,"February 9, 2020 8:23 pm",HEALTH
Thailand mass shooting: Here’s what we know about the attack that left at least 29 dead,https://globalnews.ca/news/6528239/what-we-know-so-far-thailand-mass-shooting/,"February 9, 2020 4:24 pm",WORLD
‘The Wild Wild West’ star Robert Conrad dies at 84,https://globalnews.ca/news/6528191/robert-conrad-dead-84/,"February 9, 2020 1:20 pm",ENTERTAINMENT
Australia battered by the elements at tail-end of record bushfire season,https://globalnews.ca/news/6527717/australia-cyclones-rain-wildfires/,"February 9, 2020 3:45 pm",FIRE
"Families wait for remains of victims, answers after Thai mall shooting",https://globalnews.ca/news/6527860/thai-mall-shooting-victims/,"February 9, 2020 2:15 pm",WORLD
"‘A perfect setup’: Virus outbreaks common on cruise ships, experts say",https://globalnews.ca/news/6525470/coronavirus-cruise-ships/,"February 9, 2020 12:38 pm",HEALTH
"U.K., Spain confirm new coronavirus virus cases as French focus on containment",https://globalnews.ca/news/6527651/spain-uk-coronavirus-cases/,"February 9, 2020 12:53 pm",WORLD
Moroccans rally to support Palestinians in protest of Trump’s Mideast peace plan,https://globalnews.ca/news/6527479/moroccans-mideast-peace-plan/,"February 9, 2020 11:27 am",WORLD
‘A signal to all predators’: Weinstein accusers watch trial unfold from afar,https://globalnews.ca/news/6527447/weinstein-accusers-watch-trial/,"February 9, 2020 10:51 am",WORLD
"2 U.S. soldiers killed, 6 wounded in Afghanistan attack: officials",https://globalnews.ca/news/6527354/2-soldiers-killed-afghanistan/,"February 9, 2020 9:59 am",WORLD
Switzerland backs bill against LGTBQ2 discrimination in referendum vote,https://globalnews.ca/news/6527315/switzerland-lgbtq2-bill-referendum/,"February 9, 2020 9:47 am",WORLD
"Suspect in custody after officer shot in the Bronx, NYPD say",https://globalnews.ca/news/6527268/nypd-officer-shot/,"February 9, 2020 9:27 am",WORLD
Canada wants UN Security Council seat to advance discussion on world issues: Trudeau,https://globalnews.ca/news/6527255/canadians-detained-egypt-trudeau/,"February 9, 2020 6:03 am",CANADA
"U.K. cancels flights, trains and ferries as high winds batter northern Europe",https://globalnews.ca/news/6527232/uk-storm-ciara-travel-cancellations/,"February 9, 2020 8:46 am",WEATHER
"Iran doesn’t have experts to analyze black boxes from plane crash, Champagne says",https://globalnews.ca/news/6527201/champagne-black-boxes-iran-plane/,"February 9, 2020 8:12 am",CANADA
Ireland to face messy coalition talks as exit polls show 3 parties in dead heat,https://globalnews.ca/news/6527178/ireland-election-coalition/,"February 9, 2020 7:54 am",WORLD
Coronavirus: Trudeau says Canada will offer more help to China if needed,https://globalnews.ca/news/6527166/coronavirus-canada-second-plane-wuhan/,"February 9, 2020 7:29 am",CANADA
"Where did they go? Millions fled Wuhan, China, before coronavirus lockdown",https://globalnews.ca/news/6527152/coronavirus-lockdown-wuhan/,"February 9, 2020 7:15 am",HEALTH
What a national action plan on gender-based violence might achieve — if Canada gets it right,https://globalnews.ca/news/6426879/gender-based-violence-2/,"February 9, 2020 7:00 am",CANADA
"‘SNL’ takes jabs at Iowa, Trump’s acquittal in New Hampshire Democratic debate cold open",https://globalnews.ca/news/6526829/snl-cold-open-new-hampshire-debate/,"February 9, 2020 12:58 am",ENTERTAINMENT
"Buttigieg is ‘not a Barack Obama,’ Biden tells New Hampshire Democrats",https://globalnews.ca/news/6526838/biden-new-hampshire-democrats-buttigieg/,"February 8, 2020 10:40 pm",POLITICS
Professor evacuated from Wuhan provides glimpse at ‘quarantine’ life at CFB Trenton,https://globalnews.ca/news/6526117/ottawa-professor-quarantine-cfb-trenton/,"February 8, 2020 8:31 pm",CANADA
"Coronavirus has killed more than SARS, but health officials say new cases slowing",https://globalnews.ca/news/6526637/coronavirus-death-toll-surpasses-sars/,"February 8, 2020 8:08 pm",HEALTH
Mike Pompeo issues another warning on China in speech to U.S. governors,https://globalnews.ca/news/6526286/pompeo-china-investment-influence/,"February 8, 2020 5:54 pm",WORLD
"Several U.S. casualties in Afghanistan military mission, officials say",https://globalnews.ca/news/6526084/american-casualties-afghanistan/,"February 8, 2020 4:36 pm",WORLD
‘Anything to demean’: Trump calls fake news on bad photo of himself,https://globalnews.ca/news/6525816/trump-tan-line-photo/,"February 8, 2020 4:27 pm",ENTERTAINMENT
"Orson Bean, 91-year-old comedic actor, fatally hit by car in Los Angeles",https://globalnews.ca/news/6525867/orson-bean-dead-los-angeles/,"February 8, 2020 1:40 pm",ENTERTAINMENT
Syrian troops capture new territory in attempt to control key highway,https://globalnews.ca/news/6525525/syrian-troops-key-highway/,"February 8, 2020 12:00 pm",WORLD
"Canada, Ethiopia to start negotiating investment agreement: Trudeau",https://globalnews.ca/news/6525460/canada-ethiopia-trudeau-investment/,"February 8, 2020 9:36 am",WORLD
5 U.K. citizens contract coronavirus at French ski resort,https://globalnews.ca/news/6525402/5-uk-coronavirus-resort/,"February 8, 2020 10:58 am",WORLD
Australia’s west coast braces for Category 3 Cyclone Damien,https://globalnews.ca/news/6525386/australia-cyclone-damien/,"February 8, 2020 10:29 am",WEATHER
Here are the key takeaways from the New Hampshire Democratic debate,https://globalnews.ca/news/6525333/new-hampshire-democratic-debate-takeaways/,"February 8, 2020 10:04 am",POLITICS
Coronavirus: Chinese officials scrambling to keep food flowing to cities on lockdown,https://globalnews.ca/news/6525244/china-coronavirus-quarantine-food/,"February 8, 2020 8:52 am",HEALTH
"26 killed, 57 wounded in shooting at Thai mall: police",https://globalnews.ca/news/6525214/thailand-mall-shooting/,"February 8, 2020 8:22 am",WORLD
Year of return: 400 years after the transatlantic slave trade,https://globalnews.ca/news/6520399/black-slavery-ghana-year-of-return/,"February 8, 2020 8:00 am",FEATURES
Democratic presidential hopefuls to make final push in New Hampshire before primary,https://globalnews.ca/news/6525171/democrats-new-hampshire-primary/,"February 8, 2020 7:32 am",POLITICS
"Kobe Bryant helicopter was almost out of blinding clouds, investigators say",https://globalnews.ca/news/6525160/kobe-bryant-helicopter-clouds/,"February 8, 2020 7:19 am",WORLD
"3 Irish parties in dead heat to form next government, exit polls show",https://globalnews.ca/news/6525152/ireland-election-results/,"February 8, 2020 7:11 am",POLITICS
Biden admits he’ll ‘take a hit’ in New Hampshire primary at Democratic debate,https://globalnews.ca/news/6524498/democratic-debate-new-hampshire/,"February 7, 2020 7:41 pm",WORLD
Twitter accounts belonging to Facebook hacked,https://globalnews.ca/news/6524423/twitter-facebook-messenger-hacked/,"February 7, 2020 8:46 pm",WORLD
1st U.S. citizen dies in China of coronavirus as death toll climbs to 724,https://globalnews.ca/news/6524272/china-coronavirus-death-toll/,"February 7, 2020 8:02 pm",HEALTH
Weinstein trial defence questions reliability of accusers’ memories,https://globalnews.ca/news/6523791/harvey-weinstein-trial-defense-memory/,"February 7, 2020 8:02 pm",WORLD
Trump ousts two officials who testified against him in impeachment,https://globalnews.ca/news/6524071/gordon-sondland-donald-trump-impeachment/,"February 7, 2020 7:15 pm",WORLD
Wet’suwet’en protests and arrests: Here’s a look at what’s happening now,https://globalnews.ca/news/6517089/wetsuweten-bc-pipeline-protests/,"February 7, 2020 5:46 pm",CANADA
Canada focused on defeating ISIL amid ‘sensitive’ relations with Iraq: commander,https://globalnews.ca/news/6523237/canadian-special-forces-iraq/,"February 7, 2020 5:25 pm",CANADA
"Alexander Vindman, who testified against Trump, fired from White House",https://globalnews.ca/news/6522956/alexander-vindman-fired-trump/,"February 7, 2020 4:47 pm",POLITICS
Canada Goose says it expects weaker sales due to coronavirus outbreak,https://globalnews.ca/news/6522978/canada-goose-coronavirus/,"February 7, 2020 2:33 pm",CANADA
Chinese social media censors hashtags after coronavirus whistleblower doctor dies,https://globalnews.ca/news/6522366/china-censors-hashtags-coronavirus/,"February 7, 2020 3:56 pm",TRENDING
"Royal Caribbean cruises ban all passengers with Chinese, Macau or Hong Kong passports",https://globalnews.ca/news/6521766/royal-caribbean-ban-chinese-macau-hong-kong-passports/,"February 7, 2020 3:45 pm",WORLD
"Report linking pangolins to coronavirus lacks evidence, scientists say",https://globalnews.ca/news/6522322/pangolin-coronavirus-engandered/,"February 7, 2020 3:21 pm",HEALTH
Kobe Bryant helicopter showed no signs of engine failure: probe,https://globalnews.ca/news/6522558/kobe-bryant-helicopter-engine-failure-probe/,"February 7, 2020 3:10 pm",ENTERTAINMENT
"5 dead as storm systems bring flooding, snow to U.S.",https://globalnews.ca/news/6522313/snow-rain-storms-us/,"February 7, 2020 2:52 pm",WORLD
Man kills friend with crossbow while trying to save him from pit bulls,https://globalnews.ca/news/6521551/crossbow-accident-dog-attack/,"February 7, 2020 2:20 pm",TRENDING
Justin Trudeau in Ethiopia for African Union meeting,https://globalnews.ca/news/6521617/justin-trudeau-african-union-meeting/,"February 7, 2020 1:09 pm",CANADA
"Prince Andrew’s daughter, Princess Beatrice, announces private wedding venue",https://globalnews.ca/news/6520231/princess-beatrice-wedding-date/,"February 7, 2020 9:31 am",LIFESTYLE
Lucky birthday boy catches sight of triple whale breach in Hawaii,https://globalnews.ca/news/6516930/whale-breach-video-hawaii/,"February 7, 2020 8:58 am",TRENDING
"World facing ‘chronic shortage’ of masks, gloves amid coronavirus fears: WHO",https://globalnews.ca/news/6520188/shortage-masks-gloves-coronavirus-who/,"February 7, 2020 7:57 am",WORLD
Democratic presidential hopefuls prepare for crucial New Hampshire debate,https://globalnews.ca/news/6520130/new-hampshire-democratic-debate/,"February 7, 2020 7:33 am",POLITICS
"Heavy rain, floods hit Australia’s wildfire-ravaged east coast",https://globalnews.ca/news/6520104/australia-wildfires-rain-flooding/,"February 7, 2020 7:22 am",WORLD
Coronavirus: China investigating doctor’s death as cruise ships stay locked down,https://globalnews.ca/news/6520080/coronavirus-cruise-ships-doctor-death/,"February 7, 2020 7:10 am",WORLD
‘Fresh Canadian air’: Canadians evacuated from Wuhan arrive in Ontario,https://globalnews.ca/news/6517548/176-canadians-wuhan-bc/,"February 7, 2020 12:00 am",CANADA
5 Canadians among 41 new cases of coronavirus on cruise ship docked in Japan,https://globalnews.ca/news/6519457/coronavirus-japan-cruise-ship-canadians-new/,"February 6, 2020 11:35 pm",CANADA
"Trudeau to be first Canadian PM to attend African Union, but can he reset relations?",https://globalnews.ca/news/6519354/trudeau-african-union-relations/,"February 6, 2020 10:55 pm",WORLD
Japan finds 41 new cases of coronavirus on cruise ship as China death toll rises to 636,https://globalnews.ca/news/6518941/coronavirus-cruise-ship-china/,"February 6, 2020 8:40 pm",CHINA VIRUS
Man accused of killing 22 at El Paso Walmart facing federal hate crimes charges,https://globalnews.ca/news/6518542/patrick-crusius-el-paso-shooting/,"February 6, 2020 7:00 pm",WORLD
"Key al-Qaeda figure killed in U.S. counter-terrorism operation, Trump says",https://globalnews.ca/news/6518370/al-qaeda-founder-killed/,"February 6, 2020 3:33 pm",WORLD
"Prosecutors rest case in Harvey Weinstein rape trial, defence to call witnesses",https://globalnews.ca/news/6517464/prosecutors-rest-harvey-weinstein/,"February 6, 2020 4:27 pm",CRIME
Children may be less affected by coronavirus: report,https://globalnews.ca/news/6514903/children-risk-coronavirus/,"February 6, 2020 2:03 pm",HEALTH
Virtual tie reported in Iowa caucus as DNC chair calls for review of results,https://globalnews.ca/news/6516061/iowa-caucus-results-recanvass/,"February 6, 2020 1:10 pm",POLITICS
Indigenous leaders say pipeline ruling highlights Canada’s need for UNDRIP law,https://globalnews.ca/news/6510038/indigenous-leaders-pipeline-ruling-canada-undrip/,"February 6, 2020 11:01 am",POLITICS
Death toll from pair of avalanches in eastern Turkey climbs to 41,https://globalnews.ca/news/6515161/turkey-avalanches-death-toll/,"February 6, 2020 10:51 am",WORLD
China wants to patent a U.S. drug to fight coronavirus,https://globalnews.ca/news/6515020/china-scientists-drug-coronavirus/,"February 6, 2020 10:10 am",WORLD
"Foreign ISIS captives to be prosecuted in Syria, Kurdish forces announce",https://globalnews.ca/news/6514685/foreign-isis-captives-prosecuted-in-syria/,"February 6, 2020 9:11 am",CANADA
Christina Koch returns to Earth after record-breaking spaceflight,https://globalnews.ca/news/6514785/christina-koch-longest-spaceflight-nasa/,"February 6, 2020 9:02 am",TECH
Trump lashes out at ‘sleaze bags’ behind impeachment in acquittal victory lap,https://globalnews.ca/news/6514612/trump-impeachment-acquittal-speech/,"February 6, 2020 8:10 am",WORLD
Premiers headed for Washington to celebrate CUSMA with American counterparts,https://globalnews.ca/news/6514556/premiers-washington-cusma-trade/,"February 6, 2020 7:46 am",CANADA
Coronavirus: China’s death toll soars above 560 as hospital tests new drug,https://globalnews.ca/news/6514540/coronavirus-hospital-death-toll/,"February 6, 2020 7:33 am",WORLD
‘The chill is real’: Canada’s new ambassador to China says of current relationship,https://globalnews.ca/news/6513563/canada-ambassador-china-diplomacy/,"February 5, 2020 9:14 pm",CANADA
2 Canadians test positive for coronavirus on cruise ship quarantined in Japan,https://globalnews.ca/news/6513530/china-coronavirus-new-death-toll-cruise/,"February 5, 2020 6:39 pm",HEALTH
"‘Vindictive and nasty’: Trump barrels into 2020 campaign, emboldened by acquittal",https://globalnews.ca/news/6513083/trump-post-impeachment-acquittal/,"February 5, 2020 6:53 pm",POLITICS
‘Spartacus’ actor Kirk Douglas dead at age 103,https://globalnews.ca/news/6512327/kirk-douglas-dead-age-103/,"February 5, 2020 6:50 pm",ENTERTAINMENT
Here are some key takeaways from Trump’s impeachment acquittal,https://globalnews.ca/news/6512792/trump-acquittal-key-takeaways/,"February 5, 2020 6:38 pm",POLITICS
Omar Khadr told to answer Utah plaintiffs’ questions about his war crimes confession,https://globalnews.ca/news/6512801/omar-khadr-war-crimes-confession-utah-ontario-court/,"February 5, 2020 6:03 pm",CANADA
"AI company must stop scraping user images from social media sites, top tech firms say",https://globalnews.ca/news/6512311/clearview-ai-tech-firms-social-media/,"February 5, 2020 5:53 pm",TECH
"At least 138 killed after being deported from U.S. to El Salvador, report says",https://globalnews.ca/news/6512332/el-salvadoran-migrants-dead-report/,"February 5, 2020 5:07 pm",WORLD
Will travel insurance cover coronavirus? Experts break down why and why not,https://globalnews.ca/news/6506117/travel-insurance-coronavirus/,"February 5, 2020 4:44 pm",WORLD
Draft UN resolution would reject U.S. plan for peace in Middle East,https://globalnews.ca/news/6512002/un-resolution-middle-east-peace-plan/,"February 5, 2020 4:44 pm",WORLD
What happens now? And other unanswered questions from Trump’s impeachment trial,https://globalnews.ca/news/6509530/trump-impeachment-acquittal-what-happens-next/,"February 5, 2020 4:38 pm",POLITICS
